,Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
146,147,Stevie Nicks 24 Karat Gold the Concert,-,-,-,"$410,265",413,"$410,265",Oct 21,Trafalgar Releasing,False
147,148,Buddy Games,-,-,-,"$405,904",401,"$405,904",Nov 20,Paramount Pictures,False
148,149,Black Panther2020 Re-release,-,-,-,"$367,000",421,"$367,000",Jul 10,Walt Disney Pictures,False
149,150,The Kid Detective,-,-,-,"$364,138",865,"$364,138",Oct 16,Stage 6 Films,False
150,151,She Dies Tomorrow,-,-,-,"$361,329",24,"$398,663",Jul 31,Neon,False
151,152,Greed,-,-,-,"$355,308",596,"$355,308",Feb 28,Sony Pictures Classics,False
152,153,Yellow Rose,-,-,-,"$348,011",900,"$367,849",Oct 9,Stage 6 Films,False
153,154,Ride Your Wave,-,-,-,"$332,432",605,"$332,432",Feb 19,Fathom Events,False
154,155,The Eight Hundred,-,-,-,"$331,279",142,"$372,755",Aug 28,CMC Pictures,False
155,156,Les Misérables,-,-,-,"$330,181",69,"$330,181",Jan 10,Amazon Studios,False
156,157,Die Hard2020 Re-release,-,-,-,"$325,000",1172,"$325,000",Dec 4,Walt Disney Studios Motion Pictures,False
157,158,Clemency,-,-,-,"$323,980",127,"$364,716",Dec 27,Neon,False
158,159,Ordinary Love,-,-,-,"$323,688",22,"$323,688",Feb 14,Bleecker Street Media,False
159,160,The Informer,-,-,-,"$300,460",283,"$300,460",Nov 6,Vertical Entertainment,False
160,161,Playing with Fire,-,-,-,"$300,460",3185,"$44,451,847",Nov 8,Paramount Pictures,False
161,162,Save Yourselves!,-,-,-,"$299,914",388,"$301,162",Oct 2,Bleecker Street Media,False
162,163,Judy,-,-,-,"$296,343",1627,"$24,313,888",Sep 27,Roadside Attractions,False
163,164,The Traitor,-,-,-,"$296,027",45,"$296,027",Jan 31,Sony Pictures Classics,False
164,165,Gremlins2020 Re-release,-,-,-,"$295,000",64,"$295,000",Jul 10,-,False
165,166,How the Grinch Stole Christmas2020 Re-release,-,-,-,"$294,000",300,"$420,180",Dec 4,Universal Pictures,False
