,Rank,Title,Lifetime Gross,Year
171,172,Rush Hour 2,"$226,164,286",2001
172,173,The Fate of the Furious,"$226,008,385",2017
173,174,Shang-Chi and the Legend of the Ten Rings,"$224,543,292",2021
174,175,WALL·E,"$223,808,164",2008
175,176,Toy Story,"$223,225,679",1995
176,177,Big Hero 6,"$222,527,828",2014
177,178,Mission: Impossible - Fallout,"$220,159,104",2018
178,179,National Treasure: Book of Secrets,"$219,964,115",2007
179,180,Alvin and the Chipmunks: The Squeakquel,"$219,614,612",2009
180,181,Mrs. Doubtfire,"$219,195,243",1993
181,182,Beauty and the Beast,"$218,967,620",1991
182,183,Ted,"$218,815,487",2012
183,184,King Kong,"$218,080,025",2005
184,185,Ghost,"$217,631,306",1990
185,186,How to Train Your Dragon,"$217,581,231",2010
186,187,The Da Vinci Code,"$217,536,138",2006
187,188,Aladdin,"$217,350,219",1992
188,189,Alvin and the Chipmunks,"$217,326,974",2007
189,190,Saving Private Ryan,"$217,049,603",1998
190,191,Bohemian Rhapsody,"$216,668,042",2018
191,192,Ant-Man and the Wasp,"$216,648,740",2018
192,193,Madagascar 3: Europe's Most Wanted,"$216,391,482",2012
193,194,Kung Fu Panda,"$215,771,591",2008
194,195,Mission: Impossible II,"$215,409,889",2000
195,196,A Star Is Born,"$215,333,122",2018
196,197,X2: X-Men United,"$214,949,694",2003
197,198,The Lorax,"$214,373,500",2012
198,199,Solo: A Star Wars Story,"$213,767,512",2018
199,200,Venom: Let There Be Carnage,"$213,550,366",2021
